Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Altitude(m),Latitude,Longitude
7787,0,0,0,0,0,0,0,0.038330078125,-0.93212890625,0.527099609375,-95.39794921875,6.6070556640625,-27.35137939453125,548.0023193359375,0.0,0.0
7841,0,0,0,0,0,0,0,0.050048828125,-0.939697265625,0.47021484375,5.30242919921875,-2.66265869140625,-1.82342529296875,547.6931762695312,0.0,0.0
7895,0,0,0,0,0,0,0,0.041015625,-0.91552734375,0.50244140625,50.5523681640625,-6.4849853515625,-1.82342529296875,547.6931762695312,0.0,0.0
7949,0,0,0,0,0,0,0,0.048828125,-0.861083984375,0.559326171875,177.63519287109375,-26.2908935546875,19.95086669921875,547.6931762695312,0.0,0.0
8003,0,0,0,0,0,0,0,0.032470703125,-0.747802734375,0.7607421875,206.4208984375,-20.01190185546875,56.9000244140625,547.6931762695312,0.0,0.0
8057,0,0,0,0,0,0,0,-0.012939453125,-0.63916015625,0.83984375,218.68133544921875,-5.65338134765625,32.8826904296875,547.6931762695312,0.0,0.0
8112,0,0,0,0,0,0,0,-0.021484375,-0.413330078125,1.175537109375,249.99237060546875,-4.82940673828125,30.86090087890625,547.6931762695312,0.0,0.0
8166,0,0,0,0,0,0,0,-0.022705078125,-0.0126953125,1.179443359375,249.99237060546875,-33.447265625,26.69525146484375,547.6931762695312,0.0,0.0
8220,0,0,0,0,0,0,0,0.020751953125,0.349365234375,1.110107421875,249.99237060546875,6.439208984375,24.63531494140625,547.6931762695312,0.0,0.0
8274,0,0,0,0,0,0,0,0.044921875,0.573486328125,1.074951171875,234.92431640625,-8.03375244140625,35.09521484375,547.6931762695312,0.0,0.0
8328,0,0,0,0,0,0,0,0.072998046875,0.6884765625,0.703125,240.05126953125,-17.6849365234375,47.1343994140625,547.6931762695312,0.0,0.0
8382,0,0,0,0,0,0,0,0.113037109375,0.843505859375,0.6259765625,146.01898193359375,6.4697265625,23.42987060546875,547.6931762695312,0.0,0.0
8436,0,0,0,0,0,0,0,0.1171875,0.928466796875,0.577392578125,98.44207763671875,3.570556640625,22.48382568359375,547.6931762695312,0.0,0.0
8490,0,0,0,0,0,0,0,0.138671875,0.969482421875,0.485107421875,92.24700927734375,1.96075439453125,20.4925537109375,547.6931762695312,0.0,0.0
8541,0,0,0,0,0,0,0,0.184814453125,0.96923828125,0.429931640625,14.15252685546875,-2.37274169921875,17.578125,547.6931762695312,0.0,0.0
8595,0,0,0,0,0,0,0,0.20068359375,0.87255859375,0.430419921875,-135.711669921875,-3.96728515625,-17.7764892578125,547.6931762695312,0.0,0.0
8649,0,0,0,0,0,0,0,0.084716796875,0.79638671875,0.62158203125,-250.0,20.1568603515625,-100.09765625,547.6931762695312,0.0,0.0
8705,0,0,0,0,0,0,0,0.015380859375,0.550537109375,1.137451171875,-250.0,20.83587646484375,-34.637451171875,547.6931762695312,0.0,0.0
8759,0,0,0,0,0,0,0,0.0185546875,0.1953125,1.129638671875,-250.0,9.9639892578125,-17.35687255859375,547.44482421875,0.0,0.0
8813,0,0,0,0,0,0,0,0.022705078125,-0.016845703125,1.135009765625,-250.0,14.1448974609375,-34.72900390625,547.44482421875,0.0,0.0
8867,0,0,0,0,0,0,0,0.03564453125,-0.3212890625,1.031982421875,-222.503662109375,13.946533203125,-37.94097900390625,547.44482421875,0.0,0.0
8921,0,0,0,0,0,0,0,0.009521484375,-0.607177734375,0.959228515625,-250.0,26.0467529296875,-46.9970703125,547.44482421875,0.0,0.0
8975,0,0,0,0,0,0,0,-0.017822265625,-0.6845703125,0.806396484375,-231.0638427734375,32.40203857421875,-30.2276611328125,547.44482421875,0.0,0.0
9029,0,0,0,0,0,0,0,0.09423828125,-0.973876953125,0.55859375,-161.14044189453125,15.13671875,-29.9224853515625,547.44482421875,0.0,0.0
9083,0,0,0,0,0,0,0,0.054931640625,-0.88232421875,0.484375,-85.0982666015625,7.7056884765625,-16.6015625,547.44482421875,0.0,0.0
9136,0,0,0,0,0,0,0,0.07470703125,-0.9267578125,0.38623046875,-9.918212890625,3.1890869140625,-3.88336181640625,547.44482421875,0.0,0.0
9190,0,0,0,0,0,0,0,0.087158203125,-0.9404296875,0.4169921875,83.8623046875,-6.30950927734375,9.16290283203125,547.44482421875,0.0,0.0
9245,0,0,0,0,0,0,0,0.12451171875,-0.7919921875,0.611328125,202.117919921875,-25.6195068359375,26.67236328125,547.44482421875,0.0,0.0
9299,0,0,0,0,0,0,0,0.06005859375,-0.777099609375,0.709228515625,231.475830078125,-22.39227294921875,47.515869140625,547.44482421875,0.0,0.0
9353,0,0,0,0,0,0,0,0.0498046875,-0.66015625,0.904541015625,217.36907958984375,-20.4925537109375,38.4521484375,547.44482421875,0.0,0.0
9407,0,0,0,0,0,0,0,0.021728515625,-0.42626953125,1.057373046875,249.99237060546875,-39.61944580078125,57.4798583984375,547.44482421875,0.0,0.0
9461,0,0,0,0,0,0,0,0.044921875,-0.008056640625,1.1669921875,249.99237060546875,-39.581298828125,31.02874755859375,547.44482421875,0.0,0.0
9515,0,0,0,0,0,0,0,0.087890625,0.223388671875,1.091796875,249.99237060546875,-1.38092041015625,29.01458740234375,547.44482421875,0.0,0.0
9569,0,0,0,0,0,0,0,0.081298828125,0.4951171875,0.972900390625,211.09771728515625,-7.537841796875,20.22552490234375,547.44482421875,0.0,0.0
9623,0,0,0,0,0,0,0,0.133056640625,0.693603515625,0.86328125,244.93408203125,-3.18145751953125,42.8619384765625,547.44482421875,0.0,0.0
9677,0,0,0,0,0,0,0,0.157470703125,0.779296875,0.694091796875,144.00482177734375,-2.0751953125,32.37152099609375,547.44482421875,0.0,0.0
9731,0,0,0,0,0,0,0,0.16943359375,0.8017578125,0.658447265625,-23.00262451171875,4.96673583984375,-3.24249267578125,546.7313842773438,0.0,0.0
9785,0,0,0,0,0,0,0,0.161865234375,0.723876953125,0.773193359375,-250.0,25.2685546875,-81.8023681640625,546.7313842773438,0.0,0.0
9840,0,0,0,0,0,0,0,0.056884765625,0.185546875,1.265380859375,-250.0,64.544677734375,-31.2347412109375,546.7313842773438,0.0,0.0
