Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Baro_Altitude(m),Latitude,Longitude,GPS_Altitude(m),PDOP,Fix_Type,Satellites,SpeedLeft,SpeedRight,Vbus,Iq,RPM_TIM2CH1,RPM_TIM5CH2,Temp1,Temp2
17871,1980,1,6,0,0,56,0,0.01220703125,1.005859375,0.228271484375,3.24249267578125,1.1749267578125,0.00762939453125,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17921,1980,1,6,0,0,56,0,0.01318359375,1.00830078125,0.2138671875,0.43487548828125,3.0059814453125,-0.1983642578125,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
17971,1980,1,6,0,0,56,0,0.015869140625,1.00732421875,0.2275390625,3.4942626953125,2.32696533203125,-0.030517578125,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
18021,1980,1,6,0,0,56,0,0.007080078125,1.00341796875,0.215087890625,5.13458251953125,1.39617919921875,1.12152099609375,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.1875,27.3125
18071,1980,1,6,0,0,57,0,0.010009765625,1.006591796875,0.235107421875,5.157470703125,0.5645751953125,-0.18310546875,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18121,1980,1,6,0,0,57,0,0.01123046875,1.008056640625,0.22509765625,4.1046142578125,2.61688232421875,0.2593994140625,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18171,1980,1,6,0,0,57,0,0.013671875,1.005615234375,0.186767578125,4.1656494140625,1.31988525390625,0.95367431640625,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18221,1980,1,6,0,0,57,0,0.00634765625,0.99755859375,0.219970703125,7.4462890625,-0.25177001953125,0.9002685546875,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18271,1980,1,6,0,0,57,0,0.001220703125,1.0,0.248291015625,2.685546875,2.51007080078125,-0.35858154296875,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
18321,1980,1,6,0,0,57,0,0.014892578125,1.0068359375,0.232421875,3.3416748046875,2.0904541015625,-0.2899169921875,561.5809936523438,0.0,0.0,-17.0,99.98999786376953,0,0,0.0,5.654797077178955,0.0,0.0,59.9992561340332,0.0,27.75,27.3125
