Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Baro_Altitude(m),Latitude,Longitude,GPS_Altitude(m),PDOP,Fix_Type,Satellites
3177971712,32768,122,63,0,192,177,62,3.72314453125,1.79290771484375,-0.05340576171875,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,5.167038929197627e-29,2.8287096058187527e-34,1.017815577380388e-28,15,0
3177316352,57344,122,63,0,32,180,62,3.62396240234375,1.82342529296875,-0.274658203125,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,7.139191192250157e-29,2.8287096058187527e-34,1.017815577380388e-28,15,0
3177512960,45056,123,63,0,192,184,62,4.14276123046875,2.02178955078125,-0.1068115234375,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,9.111343455302686e-29,2.8287096058187527e-34,1.017815577380388e-28,15,0
3176988672,61440,122,63,0,128,180,62,3.57818603515625,2.05230712890625,-0.244140625,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,1.206957184988148e-28,2.8287096058187527e-34,1.017815577380388e-28,15,0
3177250816,36864,123,63,0,128,181,62,3.92913818359375,1.73187255859375,-0.30517578125,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,1.601387637598654e-28,2.8287096058187527e-34,1.017815577380388e-28,15,0
3177119744,8192,123,63,0,32,182,62,3.4027099609375,1.9989013671875,-0.29754638671875,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,1.9958180902091599e-28,2.8287096058187527e-34,1.017815577380388e-28,15,0
3175940096,8192,123,63,0,224,181,62,3.85284423828125,1.99127197265625,-0.396728515625,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,2.7610131682735413e-28,2.8287096058187527e-34,1.017815577380388e-28,15,0
3176792064,57344,123,63,0,64,181,62,3.814697265625,1.922607421875,-0.3204345703125,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,3.549874073494553e-28,2.8287096058187527e-34,1.017815577380388e-28,15,0
3177906176,57344,122,63,0,128,180,62,3.95965576171875,1.45721435546875,-0.12969970703125,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,4.638502122699549e-28,2.8287096058187527e-34,1.017815577380388e-28,15,0
3177381888,61440,122,63,0,128,179,62,3.7994384765625,1.96075439453125,-0.2288818359375,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,6.216223933141573e-28,2.8287096058187527e-34,1.017815577380388e-28,15,0
3176792064,40960,122,63,0,224,181,62,4.119873046875,1.67083740234375,0.19073486328125,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,7.793945743583597e-28,2.8287096058187527e-34,1.017815577380388e-28,15,0
3176595456,45056,122,63,0,0,183,62,3.8909912109375,1.8768310546875,-0.35858154296875,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,1.066539943858808e-27,2.8287096058187527e-34,1.017815577380388e-28,15,0
3177119744,40960,122,63,0,96,180,62,4.11224365234375,1.70135498046875,-0.12969970703125,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,1.3820843059472127e-27,2.8287096058187527e-34,1.017815577380388e-28,15,0
3177185280,20480,123,63,0,64,184,62,3.80706787109375,1.7242431640625,-0.0152587890625,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,1.7796702021786026e-27,2.8287096058187527e-34,1.017815577380388e-28,15,0
3177644032,0,123,63,0,224,180,62,3.56292724609375,1.9683837890625,0.1678466796875,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,2.410758926355412e-27,2.8287096058187527e-34,1.017815577380388e-28,15,0
3177054208,24576,123,63,0,128,179,62,3.41796875,1.99127197265625,-0.09918212890625,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,3.0418476505322215e-27,2.8287096058187527e-34,1.017815577380388e-28,15,0
3176726528,32768,122,63,0,192,182,62,4.28009033203125,1.89208984375,0.0,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,4.1146984816327976e-27,2.8287096058187527e-34,1.017815577380388e-28,15,0
3177775104,16384,123,63,0,224,181,62,3.70025634765625,1.85394287109375,-0.17547607421875,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,5.3768759299864165e-27,2.8287096058187527e-34,1.017815577380388e-28,15,0
3176857600,24576,122,63,0,128,183,62,4.0283203125,1.42669677734375,-0.11444091796875,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,6.815758221109542e-27,2.8287096058187527e-34,1.017815577380388e-28,15,0
3176726528,49152,122,63,0,160,180,62,3.71551513671875,1.6632080078125,-0.213623046875,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,9.34011311781678e-27,2.8287096058187527e-34,1.017815577380388e-28,15,0
3177381888,24576,122,63,0,64,183,62,3.875732421875,1.922607421875,0.06103515625,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,1.1864468014524018e-26,2.8287096058187527e-34,1.017815577380388e-28,16,0
3178299392,61440,122,63,0,224,178,62,3.753662109375,1.6937255859375,-0.40435791015625,559.8264770507812,0.0,0.0,-17.0,99.98999786376953,1.5852948751321453e-26,2.8287096058187527e-34,1.017815577380388e-28,16,0
